sku,_store,_attribute_set,_type,_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,enable_googlecheckout,gallery,gift_message_available,has_options,image,image_label,is_imported,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
,,,,,tracts_bfa_org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/l/r/lrg_thethirdpart.jpg,,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/l/r/lrg_thethirdpart3.jpg,,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/l/r/lrg_thethirdpart2.jpg,,4,0
2228-140,,Default,simple,,base,,,,"2010-12-17 21:42:19",,,,,"<p><em>Tratado del evangelio: &ldquo;La tercera parte&rdquo;</em>&#8212;Se basa en 1 Tesalonicenses 5:23. Incluye informaci&oacute;n para ordenar un ejemplar gratuito del Nuevo Testamento Versi&oacute;n Recobro de BfA. 6 x 4 pulgadas.</p>",1,,,0,/l/r/lrg_thethirdpart_1.jpg,,No,,,,,,,,,," Tract ""The Third Part"" SPANISH",,,"Block after Info Column",,0.0500,0,"<p><em>Tratado del evangelio: &ldquo;La tercera parte&rdquo;</em>&#8212;Se basa en 1 Tesalonicenses 5:23. Incluye informaci&oacute;n para ordenar un ejemplar gratuito del Nuevo Testamento Versi&oacute;n Recobro de BfA. 6 x 4 pulgadas.</p>",/t/h/th_thethirdpart_1.jpg,,"2011-07-25 00:00:00",0.0500,,1,2,/t/h/th_thethirdpart_1.jpg,,"2011-07-25 20:59:20",tratado-evangelistico-la-tercera-parte-paquete-de-100,tratado-evangelistico-la-tercera-parte-paquete-de-100.html,1,0.0034,36359.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,0.0000,1,0,1,1,1,0.0000,1,0,,,,,,,,,,,,,,77,/t/h/th_thethirdpart_1.jpg,,1,1
,,,,,tracts_bfa_org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/l/r/lrg_thethirdpart3_1.jpg,,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/l/r/lrg_thethirdpart_1.jpg,,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/l/r/lrg_thethirdpart2_1.jpg,,4,0
1228-142,,Default,simple,,base,,,,"2010-12-17 21:42:20",,,,,"Based on the story of the woman with the issue of blood in Matthew 9, Mark 5, and Luke 8. Includes information for ordering a free New Testament Recovery Version from BfA. Also available in Spanish. 6 x 4 inches. ",1,,,0,/l/r/lrg_whotouchedenglish1.jpg,,No,,,,,,,,,," Tract ""Who Touched Me?"" English",,,"Block after Info Column",,0.0500,0,"Based on the story of the woman with the issue of blood in Matthew 9, Mark 5, and Luke 8. Includes information for ordering a free New Testament Recovery Version from BfA. Also available in Spanish. 6 x 4 inches. ",/t/h/th_whotouchedenglish1.jpg,,"2011-01-11 00:00:00",0.0500,,1,2,/t/h/th_whotouchedenglish1.jpg,,"2011-01-12 00:47:43",gospel-tract-english-who-touched-me,gospel-tract-english-who-touched-me.html,1,0.0034,38079.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,0.0000,1,0,1,1,1,0.0000,1,0,,,,,,,,,,,,,,77,/t/h/th_whotouchedenglish1.jpg,,1,1
,,,,,tracts_bfa_org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/l/r/lrg_whotouchedenglish2.jpg,,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/l/r/lrg_whotouchedenglish1.jpg,,2,0
